Localidades;Períodos;Frota de Veículos  Total ;Número de Habitantes por Total de Veículos ;Frota de Automóveis ;Número de Habitantes por Automóvel ;Frota de Ônibus ;Frota de Caminhões ;Frota de Reboques ;Frota de Motocicletas e Assemelhados ;Frota de Microônibus e Camionetas ;Frota de Veículos de Outro Tipo ;Cód. IBGE
Ibirarema;2020;3972;1.89;2031;3.7;33;298;225;836;549;;3519501
Ibitinga;2020;44358;1.32;23958;2.44;245;1262;1498;12499;4879;17;3519600
Ibiúna;2020;52225;1.46;29351;2.6;134;2623;905;10918;8273;21;3519709
Icém;2020;4783;1.68;2751;2.92;76;305;314;712;619;6;3519808
Iepê;2020;4883;1.62;2851;2.78;38;273;218;859;642;2;3519907
Igarapava;2020;16153;1.82;10249;2.87;141;653;980;2187;1918;25;3520103
Igaratá;2020;6476;1.44;3921;2.37;18;176;176;1257;919;9;3520202
Igaraçu do Tietê;2020;13819;1.75;8540;2.83;100;504;387;2966;1316;6;3520004
Iguape;2020;11416;2.58;6251;4.71;124;289;322;2996;1425;9;3520301
Ilha Comprida;2020;6244;1.65;3257;3.16;96;212;212;1652;814;1;3520426
Ilha Solteira;2020;19999;1.29;10432;2.47;96;329;998;6169;1964;11;3520442
Ilhabela;2020;22846;1.47;9220;3.63;74;474;411;8726;3931;10;3520400
Indaiatuba;2020;201643;1.2;118465;2.05;518;4457;2327;50415;25388;73;3520509
Indiana;2020;3234;1.48;1909;2.5;14;176;122;611;401;1;3520608
Indiaporã;2020;2867;1.34;1762;2.19;19;90;155;497;342;2;3520707
Inúbia Paulista;2020;2252;1.73;1437;2.71;17;72;83;373;270;;3520806
Ipaussu;2020;7303;1.99;4396;3.3;67;261;438;1367;768;6;3520905
Iperó;2020;11801;2.91;7245;4.74;56;333;265;2542;1356;4;3521002
Ipeúna;2020;4593;1.65;2647;2.86;50;225;216;770;682;3;3521101
Ipiguá;2020;2185;2.39;1157;4.52;14;81;112;487;333;1;3521150
Iporanga;2020;1213;3.63;662;6.66;9;37;22;281;202;;3521200
Ipuã;2020;8280;1.92;4798;3.31;98;356;214;1773;1041;;3521309
Iracemápolis;2020;16773;1.41;9334;2.53;115;1015;989;3247;2072;1;3521408
Irapuã;2020;4228;1.83;2577;3;101;184;203;593;570;;3521507
Irapuru;2020;3467;2.12;2199;3.34;30;137;133;503;464;1;3521606
Itaberá;2020;9034;1.95;4802;3.67;80;503;418;2090;1138;3;3521705
Itaí;2020;14557;1.82;8685;3.05;221;769;738;2009;2112;23;3521804
Itajobi;2020;12596;1.16;6947;2.1;70;725;525;2248;2079;2;3521903
Itaju;2020;1626;2.25;952;3.84;23;91;66;203;289;2;3522000
Itanhaém;2020;50972;1.94;28923;3.41;150;1926;1114;13031;5776;52;3522109
Itaoca;2020;1112;2.87;548;5.81;10;54;22;348;130;;3522158
Itapecerica da Serra;2020;81840;2.07;49866;3.4;813;3057;1246;16928;9889;41;3522208
Itapetininga;2020;105910;1.51;56822;2.82;550;3616;2730;30626;11515;51;3522307
Itapeva;2020;64889;1.41;34578;2.65;472;3138;2848;16367;7466;20;3522406
Itapevi;2020;105888;2.24;67512;3.52;207;2747;1052;23199;11139;32;3522505
Itapira;2020;59768;1.2;30644;2.33;249;2109;914;18546;7278;28;3522604
Itapirapuã Paulista;2020;1518;2.75;677;6.17;22;57;21;507;234;;3522653
Itápolis;2020;33820;1.23;19072;2.18;248;1638;1244;6931;4677;10;3522703
Itaporanga;2020;8064;1.82;4515;3.25;92;416;325;1669;1045;2;3522802
Itapuí;2020;7470;1.84;4220;3.27;67;457;188;1633;903;2;3522901
Itapura;2020;1738;2.83;1065;4.62;19;34;131;320;169;;3523008
Itaquaquecetuba;2020;134586;2.75;91150;4.07;480;4337;1517;22520;14490;92;3523107
Itararé;2020;26304;1.86;15049;3.26;256;1285;765;5997;2946;6;3523206
Itariri;2020;4894;3.53;2537;6.81;28;479;143;1026;673;8;3523305
Itatiba;2020;86678;1.36;53844;2.19;399;3002;1571;15893;11928;41;3523404
Itatinga;2020;9910;2.07;6074;3.38;133;387;372;1621;1321;2;3523503
Itirapina;2020;9297;1.85;5470;3.14;71;463;398;1631;1259;5;3523602
Itirapuã;2020;3100;2.03;2014;3.12;24;104;49;456;453;;3523701
Itobi;2020;4641;1.64;2525;3.01;114;192;57;1145;605;3;3523800
Itu;2020;130326;1.3;75511;2.25;696;4743;4028;29062;16138;148;3523909
Itupeva;2020;41918;1.41;24446;2.42;124;2688;1573;7042;6029;16;3524006
Ituverava;2020;28397;1.42;15587;2.58;156;1092;1053;7165;3338;6;3524105
Jaborandi;2020;4035;1.65;1968;3.39;52;269;154;1086;506;;3524204
Jaboticabal;2020;60409;1.23;31570;2.35;226;2526;2245;16147;7676;19;3524303
Jacareí;2020;145823;1.56;96268;2.37;338;3780;3052;25811;16462;112;3524402
Jaci;2020;4692;1.49;2471;2.82;18;322;241;966;674;;3524501
Jacupiranga;2020;9097;1.89;4440;3.88;378;534;376;2308;1039;22;3524600
Jaguariúna;2020;43214;1.27;24553;2.23;129;1266;824;11095;5327;20;3524709
Jales;2020;47562;0.99;22276;2.12;103;1617;2474;15627;5423;42;3524808
Jambeiro;2020;3047;2.04;1813;3.43;18;147;93;451;517;8;3524907
