"Localidades";"Períodos";"Empregos Formais ";"Empregos Formais de Homens ";"Empregos Formais de Mulheres ";"Cód. IBGE"
"Rinópolis";"2018";"1840";"1157";"683";3543808
"Rio Claro";"2018";"62302";"34730";"27572";3543907
"Rio das Pedras";"2018";"9003";"6416";"2587";3544004
"Rio Grande da Serra";"2018";"3418";"1942";"1476";3544103
"Riolândia";"2018";"1035";"495";"540";3544202
"Riversul";"2018";"557";"312";"245";3543501
"Rosana";"2018";"2488";"1224";"1264";3544251
"Roseira";"2018";"2216";"1314";"902";3544301
"Rubiácea";"2018";"449";"305";"144";3544400
"Rubinéia";"2018";"599";"325";"274";3544509
"Sabino";"2018";"537";"271";"266";3544608
"Sagres";"2018";"366";"163";"203";3544707
"Sales";"2018";"889";"463";"426";3544806
"Sales Oliveira";"2018";"2407";"1472";"935";3544905
"Salesópolis";"2018";"2082";"1140";"942";3545001
"Salmourão";"2018";"493";"259";"234";3545100
"Saltinho";"2018";"1500";"918";"582";3545159
