Localidades;Períodos;Índice de Desenvolvimento Humano Municipal  IDHM ;Índice de Desenvolvimento Humano Municipal  IDHM  Ranking dos Municípios ;Índice de Desenvolvimento Humano Municipal  IDHM Longevidade ;Índice de Desenvolvimento Humano Municipal  IDHM Educação ;Índice de Desenvolvimento Humano Municipal  IDHM Renda ;Cód. IBGE
Júlio Mesquita;2010;0.716;500;0.813;0.686;0.659;3525805
Jumirim;2010;0.741;297;0.863;0.655;0.721;3525854
Jundiaí;2010;0.822;4;0.866;0.768;0.834;3525904
Junqueirópolis;2010;0.745;265;0.86;0.662;0.727;3526001
Juquiá;2010;0.7;581;0.823;0.637;0.654;3526100
Juquitiba;2010;0.709;542;0.791;0.662;0.68;3526209
Lagoinha;2010;0.693;603;0.797;0.609;0.686;3526308
Laranjal Paulista;2010;0.729;400;0.829;0.639;0.732;3526407
Lavínia;2010;0.721;460;0.82;0.655;0.698;3526506
Lavrinhas;2010;0.729;400;0.823;0.707;0.665;3526605
Leme;2010;0.744;274;0.851;0.665;0.729;3526704
Lençóis Paulista;2010;0.764;142;0.837;0.717;0.743;3526803
Limeira;2010;0.775;90;0.852;0.719;0.761;3526902
Lindóia;2010;0.742;290;0.864;0.654;0.722;3527009
Lins;2010;0.786;47;0.869;0.733;0.762;3527108
Lorena;2010;0.766;131;0.856;0.713;0.736;3527207
Lourdes;2010;0.742;290;0.816;0.717;0.697;3527256
Louveira;2010;0.777;80;0.861;0.697;0.783;3527306
Lucélia;2010;0.752;216;0.841;0.695;0.728;3527405
Lucianópolis;2010;0.733;362;0.809;0.662;0.736;3527504
Luís Antônio;2010;0.731;381;0.822;0.671;0.709;3527603
Luiziânia;2010;0.702;574;0.815;0.623;0.682;3527702
Lupércio;2010;0.724;442;0.83;0.674;0.679;3527801
Lutécia;2010;0.72;469;0.846;0.659;0.67;3527900
Macatuba;2010;0.77;110;0.859;0.697;0.763;3528007
Macaubal;2010;0.743;283;0.844;0.676;0.72;3528106
Macedônia;2010;0.74;306;0.852;0.675;0.705;3528205
Magda;2010;0.753;207;0.823;0.717;0.724;3528304
Mairinque;2010;0.743;283;0.831;0.684;0.721;3528403
Mairiporã;2010;0.788;40;0.881;0.723;0.767;3528502
Manduri;2010;0.739;314;0.818;0.675;0.73;3528601
Marabá Paulista;2010;0.677;628;0.809;0.591;0.65;3528700
Maracaí;2010;0.771;107;0.85;0.758;0.711;3528809
Marapoama;2010;0.752;216;0.852;0.679;0.736;3528858
Mariápolis;2010;0.718;489;0.83;0.651;0.684;3528908
Marília;2010;0.798;25;0.854;0.776;0.768;3529005
Marinópolis;2010;0.731;381;0.825;0.694;0.681;3529104
Martinópolis;2010;0.721;460;0.832;0.641;0.703;3529203
Matão;2010;0.773;96;0.847;0.713;0.766;3529302
Mauá;2010;0.766;131;0.852;0.733;0.721;3529401
Mendonça;2010;0.744;274;0.863;0.663;0.72;3529500
Meridiano;2010;0.731;381;0.817;0.667;0.717;3529609
Mesópolis;2010;0.724;442;0.847;0.666;0.674;3529658
Miguelópolis;2010;0.741;297;0.863;0.661;0.712;3529708
Mineiros do Tietê;2010;0.73;388;0.823;0.658;0.719;3529807
Mira Estrela;2010;0.743;283;0.806;0.731;0.697;3530003
Miracatu;2010;0.697;590;0.803;0.655;0.645;3529906
Mirandópolis;2010;0.751;219;0.869;0.665;0.732;3530102
Mirante do Paranapanema;2010;0.724;442;0.841;0.674;0.67;3530201
Mirassol;2010;0.762;151;0.846;0.698;0.748;3530300
Mirassolândia;2010;0.738;321;0.829;0.69;0.704;3530409
Mococa;2010;0.762;151;0.827;0.709;0.756;3530508
Mogi das Cruzes;2010;0.783;60;0.851;0.74;0.762;3530607
Mogi Guaçu;2010;0.774;92;0.852;0.736;0.74;3530706
Mogi Mirim;2010;0.784;55;0.879;0.715;0.767;3530805
Mombuca;2010;0.719;476;0.82;0.607;0.746;3530904
Mongaguá;2010;0.754;199;0.854;0.699;0.719;3531100
Monte Alegre do Sul;2010;0.759;169;0.858;0.678;0.752;3531209
Monte Alto;2010;0.768;121;0.859;0.707;0.746;3531308
Monte Aprazível;2010;0.785;50;0.861;0.72;0.781;3531407
Monte Azul Paulista;2010;0.753;207;0.843;0.69;0.733;3531506
Monte Castelo;2010;0.741;297;0.814;0.709;0.706;3531605
Monte Mor;2010;0.733;362;0.863;0.639;0.713;3531803
Monteiro Lobato;2010;0.71;534;0.826;0.627;0.692;3531704
Monções;2010;0.772;103;0.814;0.773;0.731;3531001
Morro Agudo;2010;0.712;522;0.836;0.604;0.716;3531902
Morungaba;2010;0.715;502;0.802;0.627;0.726;3532009
Motuca;2010;0.741;297;0.859;0.691;0.685;3532058
Murutinga do Sul;2010;0.726;426;0.847;0.643;0.703;3532108
Nantes;2010;0.714;509;0.79;0.702;0.655;3532157
Narandiba;2010;0.718;489;0.839;0.67;0.659;3532207
Natividade da Serra;2010;0.655;642;0.814;0.52;0.664;3532306
Nazaré Paulista;2010;0.678;625;0.818;0.559;0.681;3532405
Neves Paulista;2010;0.754;199;0.823;0.707;0.737;3532504
Nhandeara;2010;0.751;219;0.835;0.672;0.755;3532603
Nipoã;2010;0.713;515;0.814;0.636;0.701;3532702
Nova Aliança;2010;0.738;321;0.826;0.684;0.71;3532801
Nova Campina;2010;0.651;643;0.799;0.577;0.598;3532827
Nova Canaã Paulista;2010;0.715;502;0.806;0.675;0.673;3532843
Nova Castilho;2010;0.756;188;0.823;0.755;0.694;3532868
Nova Europa;2010;0.765;138;0.869;0.718;0.718;3532900
Nova Granada;2010;0.739;314;0.818;0.68;0.727;3533007
Nova Guataporanga;2010;0.726;426;0.842;0.644;0.707;3533106
Nova Independência;2010;0.735;345;0.827;0.711;0.675;3533205
Nova Luzitânia;2010;0.743;283;0.808;0.719;0.705;3533304
Nova Odessa;2010;0.791;33;0.861;0.762;0.755;3533403
Novais;2010;0.719;476;0.822;0.634;0.712;3533254
Novo Horizonte;2010;0.753;207;0.865;0.665;0.741;3533502
Nuporanga;2010;0.746;260;0.866;0.656;0.73;3533601
Ocauçu;2010;0.717;494;0.83;0.653;0.679;3533700
Óleo;2010;0.73;388;0.858;0.637;0.713;3533809
Olímpia;2010;0.773;96;0.867;0.724;0.737;3533908
Onda Verde;2010;0.738;321;0.863;0.671;0.693;3534005
Oriente;2010;0.77;110;0.837;0.761;0.717;3534104
Orindiúva;2010;0.767;127;0.824;0.762;0.719;3534203
Orlândia;2010;0.78;66;0.882;0.703;0.765;3534302
Osasco;2010;0.776;83;0.84;0.718;0.776;3534401
Oscar Bressane;2010;0.749;236;0.823;0.715;0.713;3534500
Osvaldo Cruz;2010;0.762;151;0.837;0.713;0.74;3534609
Ourinhos;2010;0.778;75;0.859;0.727;0.753;3534708
Ouro Verde;2010;0.692;606;0.814;0.612;0.666;3534807
Ouroeste;2010;0.77;110;0.866;0.736;0.717;3534757
Pacaembu;2010;0.725;430;0.843;0.631;0.717;3534906
Palestina;2010;0.732;370;0.848;0.645;0.717;3535002
Palmares Paulista;2010;0.722;452;0.837;0.645;0.698;3535101
Palmeira d'Oeste;2010;0.753;207;0.829;0.714;0.72;3535200
Palmital;2010;0.746;260;0.814;0.702;0.727;3535309
Panorama;2010;0.722;452;0.814;0.639;0.724;3535408
Paraguaçu Paulista;2010;0.762;151;0.836;0.739;0.717;3535507
Paraibuna;2010;0.719;476;0.815;0.642;0.709;3535606
Paraíso;2010;0.749;236;0.837;0.668;0.751;3535705
Paranapanema;2010;0.717;494;0.839;0.631;0.697;3535804
Paranapuã;2010;0.732;370;0.842;0.655;0.712;3535903
Parapuã;2010;0.737;330;0.83;0.696;0.693;3536000
Pardinho;2010;0.727;418;0.821;0.652;0.718;3536109
PariqueraAçu;2010;0.736;339;0.862;0.678;0.682;3536208
Parisi;2010;0.721;460;0.842;0.619;0.72;3536257
