"Localidades";"Períodos";"PIB (Em mil reais correntes)";"PIB per Capita (Em reais correntes)";"Participação no PIB do Estado (Em %)";"Cód. IBGE"
"Mira Estrela";"2018";"66424,75";"22779,41";"0,003005";3530003
"Miracatu";"2018";"392533,72";"19655,19";"0,017757";3529906
"Mirandópolis";"2018";"653982,06";"22996,77";"0,029584";3530102
"Mirante do Paranapanema";"2018";"345876,15";"19614,16";"0,015647";3530201
"Mirassol";"2018";"1810222,97";"31723,79";"0,08189";3530300
"Mirassolândia";"2018";"128573,72";"27823,79";"0,005816";3530409
"Mococa";"2018";"2120615,23";"31814,8";"0,095931";3530508
"Mogi das Cruzes";"2018";"15386499,31";"36296,45";"0,696045";3530607
"Mogi Guaçu";"2018";"5873500,07";"40174,42";"0,265702";3530706
"Mogi Mirim";"2018";"4601570,64";"51277,84";"0,208163";3530805
"Mombuca";"2018";"100110,22";"30153,68";"0,004529";3530904
"Mongaguá";"2018";"1035580,56";"19550,32";"0,046847";3531100
"Monte Alegre do Sul";"2018";"178327,61";"23335,2";"0,008067";3531209
"Monte Alto";"2018";"1802819,84";"37475,21";"0,081555";3531308
"Monte Aprazível";"2018";"659133,81";"28434,23";"0,029817";3531407
"Monte Azul Paulista";"2018";"534034,04";"29126,48";"0,024158";3531506
"Monte Castelo";"2018";"102928,28";"25725,64";"0,004656";3531605
"Monte Mor";"2018";"3485429,86";"60697,45";"0,157672";3531803
"Monteiro Lobato";"2018";"65312,34";"14850,46";"0,002955";3531704
"Monções";"2018";"59748,05";"27546,36";"0,002703";3531001
"Morro Agudo";"2018";"1176286,9";"37111,53";"0,053212";3531902
"Morungaba";"2018";"455896,19";"35182,6";"0,020624";3532009
"Motuca";"2018";"81591,49";"17857,63";"0,003691";3532058
"Murutinga do Sul";"2018";"65309,09";"15316,39";"0,002954";3532108
"Nantes";"2018";"119444,63";"39814,88";"0,005403";3532157
"Narandiba";"2018";"185941,54";"39336,06";"0,008412";3532207
