"Localidades";"Períodos";"Rendimento Médio do Total de Empregos Formais (Em reais correntes)";"Rendimento Médio dos Empregos Formais da Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura (Em reais correntes)";"Rendimento Médio dos Empregos Formais da Indústria (Em reais correntes)";"Rendimento Médio dos Empregos Formais da Construção (Em reais correntes)";"Rendimento Médio dos Empregos Formais do Comércio Atacadista e Varejista e do Comércio e Reparação de Veículos Automotores e Motocicletas (Em reais correntes)";"Rendimento Médio dos Empregos Formais dos Serviços (Em reais correntes)";"Cód. IBGE"
"Franca";"2018";"2285,66";"1691,42";"2104,21";"1989,75";"2038,68";"2658,83";3516200
"Francisco Morato";"2018";"2325,05";"-";"2389,29";"1856,06";"1855,14";"2591,91";3516309
"Franco da Rocha";"2018";"2728,37";"1408,72";"3295,19";"1845,59";"1904,92";"2984,12";3516408
"Gabriel Monteiro";"2018";"1669,3";"1788,45";"1443,72";"1714,05";"1645,15";"2007,53";3516507
"Gália";"2018";"1896,5";"1813";"1690,64";"3134,68";"1669,08";"2101,74";3516606
"Garça";"2018";"2037,45";"1770,21";"2244,02";"2090,87";"1710,89";"2137,97";3516705
"Gastão Vidigal";"2018";"2437,53";"1651,65";"3126,4";"2183,89";"1985,76";"2824,18";3516804
"Gavião Peixoto";"2018";"5529,98";"2293,49";"7344,8";"1532,45";"1840,43";"2167,22";3516853
"General Salgado";"2018";"2221,96";"2137,21";"2158,46";"1538,12";"1675,77";"2513,91";3516903
"Getulina";"2018";"2010,62";"1555,19";"1714,37";"2036,37";"1657,22";"2630,56";3517000
"Glicério";"2018";"1960,98";"1903,66";"1702,51";"1333,87";"1583,85";"2289,1";3517109
"Guaimbê";"2018";"1822,47";"1647,23";"3598,69";"-";"1487,58";"1998,39";3517307
"Guaíra";"2018";"2839,2";"3155,41";"3012,68";"2091";"1831,04";"2770,25";3517406
"Guaiçara";"2018";"2159,03";"1682,87";"2556,48";"1652,43";"1555,17";"2301,26";3517208
"Guapiara";"2018";"1757,73";"1224,75";"2232,06";"1702,07";"1549,99";"1896,15";3517604
"Guapiaçu";"2018";"2756,47";"6697,86";"2034,12";"1682,2";"2157,56";"2580,04";3517505
"Guará";"2018";"2295,38";"2116,83";"2962,26";"2007,24";"1638,44";"2476,05";3517703
"Guaraci";"2018";"2657,99";"2390,88";"3389,78";"1652,76";"1831,92";"2289,59";3517901
"Guarani d'Oeste";"2018";"1908,69";"1573,11";"1803,01";"-";"1142,41";"2213,81";3518008
"Guarantã";"2018";"1969,78";"1797,61";"2099,47";"-";"1494,48";"2152,14";3518107
"Guararapes";"2018";"2423,27";"2268,37";"2689,33";"1655,89";"1793,78";"2629,32";3518206
"Guararema";"2018";"2876,81";"1376,78";"3963,4";"2412,3";"1950,51";"2575,12";3518305
"Guaratinguetá";"2018";"2922,59";"1295,15";"5310,15";"1924,75";"1888,18";"2860,54";3518404
"Guaraçaí";"2018";"1978,77";"1787,68";"1894,43";"-";"1585,78";"2293,3";3517802
"Guareí";"2018";"1841,87";"1604,79";"1756,39";"1812,86";"1405,89";"2285,01";3518503
"Guariba";"2018";"2609,37";"1893,58";"3277,95";"2428,27";"2038,23";"2269,94";3518602
"Guarujá";"2018";"2997,22";"2375,81";"4674,2";"2234,73";"1969,51";"3327,17";3518701
"Guarulhos";"2018";"3373,59";"1353,29";"3873,56";"2486,52";"2459,84";"3554,6";3518800
"Guatapará";"2018";"2236,85";"1732,01";"2309,03";"1617,4";"1752,18";"2534,35";3518859
"Guzolândia";"2018";"1891,98";"1560,88";"1343,41";"2000";"1720,78";"2381,72";3518909
"Herculândia";"2018";"2183,42";"1665,91";"2604,49";"1416,92";"1614,79";"2554,41";3519006
"Holambra";"2018";"2345,81";"2075,5";"2773,23";"2179,55";"2940,09";"2308,81";3519055
"Hortolândia";"2018";"4271,24";"1629,67";"5553,05";"1953,64";"4566,71";"3116,11";3519071
"Iacanga";"2018";"2272,02";"1664,56";"2481,62";"2157,51";"1815,23";"2474,85";3519105
"Iacri";"2018";"1911,97";"1552,98";"1943,56";"2213,13";"1649,38";"2254,1";3519204
"Iaras";"2018";"2673";"2073,28";"2038,73";"1346,69";"1715,44";"3217,02";3519253
