"Localidades";"Períodos";"Valor Adicionado Total (Em mil reais correntes)";"Valor Adicionado da Administração Pública (Em mil reais correntes)";"Valor Adicionado na Indústria (Em mil reais correntes)";"Valor Adicionado dos Serviços (Em mil reais correntes)";"Valor Adicionado da Agropecuária (Em mil reais correntes)";"Impostos sobre Produtos Líquidos de Subsídios (Em mil reais correntes)";"Participação da Administração Pública no Total do Valor Adicionado (Em %)";"Participação da Indústria no Total do Valor Adicionado (Em %)";"Participação dos Serviços no Total do Valor Adicionado (Em %)";"Participação da Agropecuária no Total do Valor Adicionado (Em %)";"Cód. IBGE"
"Descalvado";"2018";"1355004,28";"138344,99";"461033,57";"792051,86";"101918,86";"231423,54";"10,21";"34,02";"58,45";"7,52";3513702
"Diadema";"2018";"12055549,52";"1613713,03";"4023650,26";"8031124,41";"774,85";"2616421,7";"13,39";"33,38";"66,62";"0,01";3513801
"Dirce Reis";"2018";"52341,3";"12446,75";"18391,78";"27668,56";"6280,96";"5049,35";"23,78";"35,14";"52,86";"12";3513850
"Divinolândia";"2018";"267739,57";"43611,51";"13153,75";"206870,34";"47715,48";"11797,38";"16,29";"4,91";"77,27";"17,82";3513900
"Dobrada";"2018";"106520,72";"33437,85";"13710,6";"71061,93";"21748,18";"8880,24";"31,39";"12,87";"66,71";"20,42";3514007
"Dois Córregos";"2018";"588664,21";"103304,63";"110360,59";"391140,56";"87163,07";"59222,8";"17,55";"18,75";"66,45";"14,81";3514106
"Dolcinópolis";"2018";"45009,3";"11790,72";"2482,23";"27584,77";"14942,3";"1281,61";"26,2";"5,51";"61,29";"33,2";3514205
"Dourado";"2018";"482665,74";"37897,65";"127731,34";"335829,76";"19104,64";"144514,26";"7,85";"26,46";"69,58";"3,96";3514304
"Dracena";"2018";"1105907,69";"170313,19";"110519,79";"953993,99";"41393,91";"93782,95";"15,4";"9,99";"86,26";"3,74";3514403
"Duartina";"2018";"224645,82";"50710,92";"30393,1";"180598,7";"13654,02";"12633,01";"22,57";"13,53";"80,39";"6,08";3514502
"Dumont";"2018";"204611,71";"37772,71";"58083,19";"127515,56";"19012,96";"24379,04";"18,46";"28,39";"62,32";"9,29";3514601
"Echaporã";"2018";"121050,34";"26898,67";"7930,41";"74704,54";"38415,39";"4391,68";"22,22";"6,55";"61,71";"31,74";3514700
"Eldorado";"2018";"312581,46";"62475,59";"15867,05";"147365,99";"149348,43";"8560,64";"19,99";"5,08";"47,14";"47,78";3514809
"Elias Fausto";"2018";"609677,61";"74300,74";"249568,56";"291507,99";"68601,06";"97026,84";"12,19";"40,93";"47,81";"11,25";3514908
"Elisiário";"2018";"60691,05";"18343,05";"5327,02";"42733,94";"12630,09";"3045,69";"30,22";"8,78";"70,41";"20,81";3514924
"Embaúba";"2018";"50634,54";"14898,81";"5845,83";"31143,37";"13645,34";"1528,03";"29,42";"11,55";"61,51";"26,95";3514957
"Embu das Artes";"2018";"10531961,99";"951080,48";"1277283,09";"9254405,42";"273,48";"2716231,39";"9,03";"12,13";"87,87";"0";3515004
"Embu-Guaçu";"2018";"971282,03";"250463,69";"221284,79";"748123,56";"1873,68";"150611,45";"25,79";"22,78";"77,02";"0,19";3515103
"Emilianópolis";"2018";"59961,58";"18192,15";"5183,81";"37139,56";"17638,21";"1785,78";"30,34";"8,65";"61,94";"29,42";3515129
"Engenheiro Coelho";"2018";"592891,27";"83616,18";"177618,19";"390915,9";"24357,18";"70423,1";"14,1";"29,96";"65,93";"4,11";3515152
